latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,frp,daynight,month,day
-27.924,128.41899999999998,324.8,3.9,1.8,2020-01-01,0.0,Terra,27,44.1,D,1,1
-28.131,129.697,341.2,3.1,1.7,2020-01-01,0.0,Terra,85,153.8,D,1,1
-28.116,129.701,354.1,3.1,1.7,2020-01-01,0.0,Terra,96,289.0,D,1,1
-28.119,129.708,361.9,3.1,1.7,2020-01-01,0.0,Terra,100,396.1,D,1,1
-28.112,129.67600000000002,344.6,3.2,1.7,2020-01-01,0.0,Terra,88,188.2,D,1,1
-35.766999999999996,136.72899999999998,339.0,1.0,1.0,2020-01-01,0.0,Terra,88,32.8,D,1,1
-35.809,136.77,340.0,1.0,1.0,2020-01-01,0.0,Terra,84,27.8,D,1,1
-35.814,136.803,363.7,1.0,1.0,2020-01-01,0.0,Terra,100,87.7,D,1,1
-35.816,136.814,329.6,1.0,1.0,2020-01-01,0.0,Terra,56,21.5,D,1,1
-35.824,136.744,377.0,1.0,1.0,2020-01-01,0.0,Terra,100,125.2,D,1,1
-35.825,136.755,403.7,1.0,1.0,2020-01-01,0.0,Terra,100,262.8,D,1,1
-35.830999999999996,136.731,379.1,1.0,1.0,2020-01-01,0.0,Terra,100,136.7,D,1,1
-35.836999999999996,136.70600000000002,352.8,1.0,1.0,2020-01-01,0.0,Terra,96,60.1,D,1,1
-35.838,136.717,352.6,1.0,1.0,2020-01-01,0.0,Terra,91,58.8,D,1,1
-35.84,136.72899999999998,391.3,1.0,1.0,2020-01-01,0.0,Terra,100,196.2,D,1,1
-37.361,147.627,309.9,3.3,1.7,2020-01-01,0.0,Terra,43,46.7,D,1,1
-37.409,147.536,307.3,3.2,1.7,2020-01-01,0.0,Terra,17,32.6,D,1,1
-37.904,145.243,314.0,2.3,1.5,2020-01-01,0.0,Terra,40,15.7,D,1,1
-41.54600000000001,147.933,313.1,3.7,1.8,2020-01-01,0.0,Terra,34,60.4,D,1,1
-41.562,147.931,387.2,3.7,1.8,2020-01-01,0.0,Terra,100,1205.4,D,1,1
-41.56399999999999,147.98,358.0,3.7,1.8,2020-01-01,0.0,Terra,99,515.3,D,1,1
-41.57899999999999,147.931,342.6,3.7,1.8,2020-01-01,0.0,Terra,91,275.5,D,1,1
-41.581,147.98,325.3,3.7,1.8,2020-01-01,0.0,Terra,60,111.0,D,1,1
-41.551,147.924,352.8,3.7,1.8,2020-01-01,0.0,Terra,91,436.1,D,1,1
-41.568000000000005,147.924,362.4,3.7,1.8,2020-01-01,0.0,Terra,94,584.4,D,1,1
-41.57,147.97299999999998,354.4,3.7,1.8,2020-01-01,0.0,Terra,85,450.8,D,1,1
-41.583999999999996,147.923,325.5,3.7,1.8,2020-01-01,0.0,Terra,48,111.5,D,1,1
-41.67,148.006,326.9,3.8,1.8,2020-01-01,0.0,Terra,38,138.0,D,1,1
-41.672,148.049,335.7,3.8,1.8,2020-01-01,0.0,Terra,85,230.6,D,1,1
-41.623000000000005,147.918,327.1,3.7,1.8,2020-01-01,0.0,Terra,52,131.9,D,1,1
-41.678000000000004,148.045,337.0,3.8,1.8,2020-01-01,0.0,Terra,88,250.9,D,1,1
-41.678999999999995,148.091,317.8,3.8,1.8,2020-01-01,0.0,Terra,33,94.6,D,1,1
-35.765,136.717,327.9,1.0,1.0,2020-01-01,0.0,Terra,72,17.9,D,1,1
-30.885,123.71799999999999,333.9,3.2,1.7,2020-01-01,0.0,Terra,68,73.6,D,1,1
-30.924,123.61399999999999,359.6,3.1,1.7,2020-01-01,0.0,Terra,99,348.2,D,1,1
-30.935,123.546,341.9,3.1,1.7,2020-01-01,0.0,Terra,79,146.9,D,1,1
-30.936999999999998,123.579,368.0,3.1,1.7,2020-01-01,0.0,Terra,100,475.5,D,1,1
-30.94,123.61200000000001,370.7,3.1,1.7,2020-01-01,0.0,Terra,100,529.7,D,1,1
-31.228,121.10799999999999,366.0,2.1,1.4,2020-01-01,0.0,Terra,100,248.7,D,1,1
-31.239,121.084,355.4,2.1,1.4,2020-01-01,0.0,Terra,97,164.3,D,1,1
-31.241,121.10700000000001,398.1,2.1,1.4,2020-01-01,0.0,Terra,100,673.4,D,1,1
-31.226999999999997,121.103,352.9,2.1,1.4,2020-01-01,0.0,Terra,95,144.8,D,1,1
